#RunNumber	RunDate	Meteo_MeanTemperature	Meteo_MeanWindSpeed	Meteo_MeanWindDirection	Meteo_MeanRelativeHumidity	Meteo_MeanPressure	Lidar_Opacity_355nm	Lidar_Opacity_532nm	TC	MeanSystemRate	ZenithEqMeanSystemRate	ZenithEqMeanSystemRate/MeanSystemRate	Telescope	TriggerRate	CorrectedTriggerRate	MedianNSB	NSBRelativeVariation	NSBRelativeDispersion	CTRadiometer_MeanTemp	CTRadiometer_TempRelativeVariation	CTRadiometer_TempRelativeDispersion	MedianScaler	ScalerRelativeVariation	ScalerRelativeDispersion	MedianTriggerRate	TriggerRateVariation	TriggerRateDispersion	Tracking_ZenithMean
67200	2011-09-22_22:59:13	6.27453	0.00000	90.00000	24.39520	826.00000	0.45894	0.06102	0.92688	204.71900	212.91400	1.04003	1.00000	143.37600	144.24200	0.69835	0.26585	1.57680	-54.46460	-0.02175	0.20135	39.30070	-3.48969	14.38350	143.14500	-0.24326	1.57972	21.94430
67201	2011-09-22_23:29:23	9.85552	1.64075	100.93200	16.49930	826.00000	0.46301	0.06276	0.93079	206.11100	215.75900	1.04681	1.00000	144.72500	144.18800	0.72249	-0.86525	0.82148	-54.40130	-0.21329	0.22583	53.72180	1.97013	14.86320	144.52400	1.98727	2.08288	23.24660
67202	2011-09-22_23:59:34	10.42860	1.96923	95.00340	15.30800	826.00300	0.46522	0.06177	0.95424	205.17000	217.61800	1.06067	1.00000	147.07000	146.30700	0.73589	5.39624	1.14484	-54.06120	-0.51335	0.20626	49.86790	16.46570	22.86810	146.99500	-0.04359	1.70723	25.52160
67203	2011-09-23_00:29:37	10.23730	2.23810	93.02030	18.27670	826.00100	0.46038	0.05950	0.94796	202.98700	216.12700	1.06473	1.00000	143.61700	143.56400	0.72481	1.21719	1.84161	-54.39720	1.15219	0.21100	48.45280	6.40929	17.94330	143.49200	-0.19093	1.61880	26.15700
67204	2011-09-23_01:00:37	10.07310	1.84630	86.18830	20.96400	826.00300	0.46917	0.06099	0.94537	206.74900	216.25300	1.04597	1.00000	143.84700	142.97700	0.73409	2.82962	1.42254	-54.87180	0.26952	0.21171	48.38060	-6.72036	13.33760	144.04800	0.30491	1.66237	23.10540
67215	2011-09-23_18:05:20	16.68840	1.74821	85.00910	18.72470	824.00200	0.00000	0.00000	0.78841	148.50000	156.68100	1.05509	1.00000	107.35100	106.88800	1.25792	-7.91467	1.18943	-45.95950	-1.11793	0.26575	138.24700	-9.52032	6.82821	107.28500	-4.81456	1.74111	24.60890
67216	2011-09-23_18:35:32	16.14920	1.87982	86.78000	19.23890	824.26400	0.00000	0.00000	0.72654	116.28300	144.16600	1.23978	1.00000	88.21240	88.01360	1.08473	0.84116	0.53548	-43.66220	-2.04795	0.24017	97.95770	0.58964	10.21370	88.23880	-9.21740	1.89063	39.93200
67217	2011-09-23_19:06:06	15.79550	1.92931	92.90620	19.28530	825.00200	0.55749	0.07929	0.68965	101.14600	139.54800	1.37967	1.00000	79.08930	80.55420	1.12281	-4.42315	0.94002	-42.53070	-3.04981	0.25452	103.57400	-1.24527	6.00290	79.08710	-14.90990	2.23851	45.46480
67218	2011-09-23_19:36:32	15.46810	1.93948	94.68690	19.48080	825.00300	0.56554	0.08129	0.68086	78.28980	129.76900	1.65755	1.00000	62.50240	65.66320	1.14864	-8.11852	0.96909	-40.63930	-4.53574	0.28128	126.42400	-20.64580	5.54085	62.48180	-23.18820	2.62125	52.28860
67219	2011-09-23_20:06:50	15.89650	2.47104	91.30940	18.27480	825.00400	0.58791	0.08364	0.63963	62.64900	119.59100	1.90891	1.00000	50.09490	54.01830	1.12510	-4.64111	1.31904	-39.05050	-6.08628	0.32803	112.15900	-7.91513	5.91322	50.04490	-31.52950	2.57714	56.29180
67220	2011-09-23_20:36:54	15.58410	2.82457	93.07660	18.53580	825.00200	0.62350	0.08397	0.74764	147.74400	148.16000	1.00282	1.00000	102.63400	105.25200	0.67124	4.48740	1.70042	-47.62140	-0.46267	0.22761	39.91350	6.95063	7.73741	102.48600	-1.23441	1.92179	6.93222
67221	2011-09-23_21:07:51	14.57330	2.36078	92.19810	19.95660	825.00400	0.61067	0.09028	0.73113	142.92400	144.18300	1.00881	1.00000	98.35780	97.46090	0.67302	-2.03587	1.43777	-47.30860	-0.66935	0.22377	38.30140	1.68559	7.05762	98.38100	-1.52628	1.88066	11.69020
67222	2011-09-23_21:53:23	15.09870	3.15905	88.96270	18.83060	824.80500	0.65060	0.09034	0.70119	132.74500	135.71000	1.02234	1.00000	93.49240	92.43380	0.60817	5.69928	1.01328	-46.89960	0.03294	0.22185	39.03790	12.73400	8.21849	93.59550	-5.34853	2.13168	17.46830
67223	2011-09-23_22:24:30	14.43990	3.20456	89.55550	19.74450	824.00300	0.65438	0.09417	0.70530	127.54200	134.46200	1.05426	1.00000	89.14450	90.38580	0.70256	-0.78563	0.48757	-46.36150	0.49555	0.21741	46.62680	-3.28877	6.92472	89.11330	0.15368	2.02582	24.54980
67224	2011-09-23_22:59:57	14.38610	3.22238	93.67250	19.62190	824.00400	0.66440	0.09820	0.70364	125.76000	130.72800	1.03950	1.00000	87.16280	85.80120	0.69703	-3.26733	2.36914	-46.49720	0.08346	0.21976	79.77010	-5.69889	10.52540	87.25120	-1.19448	1.75689	21.83400
67225	2011-09-23_23:30:08	14.31360	3.41636	88.24360	19.54240	824.00400	0.72660	0.10210	0.65853	120.54000	126.34900	1.04820	1.00000	84.53240	87.10340	0.69726	-6.05165	2.35843	-46.34770	-0.64350	0.22651	81.03270	-16.79680	7.49438	84.35150	-3.77668	1.92104	23.50190
67226	2011-09-24_00:00:19	14.40900	3.63708	95.67660	19.21430	824.00100	0.71862	0.09866	0.66368	113.37000	120.68300	1.06450	1.00000	79.57250	81.46090	0.67095	-2.74045	0.90118	-45.90180	-1.06354	0.22071	67.51620	-6.25956	9.55842	79.47160	-5.57753	2.12961	26.09540
67227	2011-09-24_00:30:22	14.04550	3.58542	93.43010	19.70270	824.00000	0.74094	0.10019	0.65221	107.64900	117.97300	1.09590	1.00000	77.75800	77.77960	0.69944	3.07511	3.69303	-45.42710	-1.32574	0.20752	81.03790	10.04450	7.88595	77.77100	-4.74269	2.30164	29.91040
67228	2011-09-24_01:00:48	13.35280	3.49871	93.50750	20.75850	823.47100	0.67281	0.10638	0.64842	110.47800	116.25000	1.05225	1.00000	76.43210	74.83100	0.68968	-2.86127	2.50415	-46.28490	0.14659	0.21376	72.89270	-17.75370	10.04900	76.66370	0.31273	2.30021	24.21960
67229	2011-09-24_01:31:54	13.07980	3.02321	87.18180	21.18630	823.00100	0.72696	0.11361	0.64234	111.03700	116.58100	1.04993	1.00000	77.01900	76.09740	0.68109	7.87124	1.43520	-46.44590	-0.21339	0.21338	75.44420	6.39108	10.08320	77.29000	-1.33070	2.42993	23.80990
67244	2011-09-24_18:05:41	19.57230	0.00000	90.00000	16.25240	823.73000	0.85959	0.12838	0.51349	75.33730	80.57790	1.06956	1.00000	53.40330	53.39630	1.04895	-10.35140	0.67549	-40.62590	-2.08595	0.22089	93.12240	-30.97500	6.40845	53.42830	-15.74460	2.32925	26.80290
67245	2011-09-24_18:35:59	18.47290	0.00000	90.00000	17.92430	824.00000	0.78518	0.13414	0.45600	51.92030	65.17390	1.25527	1.00000	38.52030	44.05790	0.88477	-6.93061	0.99751	-37.93840	-4.29281	0.23534	64.14260	-14.90310	6.17065	38.49300	-29.92130	3.48573	40.75080
